modelNames,Sland_Cumulative,betaGPP
CABLE,138.7025,0.881374696227885
CLASS-CTEM,109.813868881203,0.544067186321703
CLM,80.194011,0.426622170839112
DLEM,83.3623697,0.748579795758231
ISAM,80.612645,0.73108623659588
JSBACH,106.271,0.673169797100674
JULES,92.233656,0.674301500413398
LPJ-GUESS,72.202973,0.621662448339974
LPJ,69.8146187429253,0.489785067154256
LPX,42.1282549578113,0.49191002997269
ORCHIDEE-MICT,102.988834,0.673995200394093
ORCHIDEE,87.257,0.560694177626228
SDGVM,71.6503218007369,0.542089672820768
VEGAS,51.515633,0.215274697633876
VISIT,108.266,0.646013444974795
